system:index,FID,mean,.geo
000000000000000000b6,136.0,0.015376729890704155,"{""type"":""Point"",""coordinates"":[30.010235095344864,-29.72073941814974]}"
000000000000000000b7,137.0,0.06853415071964264,"{""type"":""Point"",""coordinates"":[30.080828637781558,-29.570234765153682]}"
000000000000000000b8,138.0,-0.08248141407966614,"{""type"":""Point"",""coordinates"":[30.495866147276413,-29.28179484442684]}"
000000000000000000b9,139.0,-0.034681279212236404,"{""type"":""Point"",""coordinates"":[30.31467085742083,-29.25487406312682]}"
000000000000000000ba,140.0,-0.03860580176115036,"{""type"":""Point"",""coordinates"":[30.051115711363078,-29.545371112853534]}"
000000000000000000bb,142.0,-0.04652278125286102,"{""type"":""Point"",""coordinates"":[30.002742314539475,-29.710895630316745]}"
000000000000000000bc,143.0,-0.015339232981204987,"{""type"":""Point"",""coordinates"":[30.29268804432923,-29.250091644546146]}"
000000000000000000bd,144.0,0.03938065469264984,"{""type"":""Point"",""coordinates"":[29.934871674910422,-29.683528589602656]}"
000000000000000000be,145.0,-0.0736842080950737,"{""type"":""Point"",""coordinates"":[30.483678771360335,-29.31179596755331]}"
000000000000000000bf,147.0,0.08530605584383011,"{""type"":""Point"",""coordinates"":[30.480361323518753,-29.271718987161673]}"
000000000000000000c0,151.0,-0.007468045223504305,"{""type"":""Point"",""coordinates"":[30.339763341128204,-29.246926751117346]}"
000000000000000000c1,152.0,0.038851529359817505,"{""type"":""Point"",""coordinates"":[29.977635828800057,-29.65743229711068]}"
000000000000000000c2,153.0,-0.014672763645648956,"{""type"":""Point"",""coordinates"":[30.297459807148414,-29.252888220589163]}"
000000000000000000c3,154.0,-0.04481833428144455,"{""type"":""Point"",""coordinates"":[30.331711488403446,-29.227069075653045]}"
000000000000000000c4,156.0,-0.12125498056411743,"{""type"":""Point"",""coordinates"":[30.064279540816365,-29.588350442051606]}"
000000000000000000c5,157.0,-0.08755867928266525,"{""type"":""Point"",""coordinates"":[29.920808320438038,-29.664561719965224]}"
000000000000000000c6,160.0,-0.08642540127038956,"{""type"":""Point"",""coordinates"":[30.275027496426528,-29.26683673939882]}"
000000000000000000c7,161.0,-0.016775360330939293,"{""type"":""Point"",""coordinates"":[29.942261185257475,-29.672633268726003]}"
000000000000000000c8,162.0,0.009784283116459846,"{""type"":""Point"",""coordinates"":[29.913130028687,-29.661374703812164]}"
000000000000000000c9,163.0,0.010963309556245804,"{""type"":""Point"",""coordinates"":[30.08657877600256,-29.569559757153566]}"
000000000000000000ca,165.0,-0.06278636306524277,"{""type"":""Point"",""coordinates"":[30.106409664192977,-29.585667703137673]}"
000000000000000000cb,167.0,-0.03645169362425804,"{""type"":""Point"",""coordinates"":[30.047275371626267,-29.53939861548283]}"
000000000000000000cc,168.0,-0.047496553510427475,"{""type"":""Point"",""coordinates"":[30.067858183206237,-29.603100495445833]}"
000000000000000000cd,169.0,-0.07034362852573395,"{""type"":""Point"",""coordinates"":[29.913425969229042,-29.656050003163656]}"
000000000000000000ce,364.0,0.003285951679572463,"{""type"":""Point"",""coordinates"":[30.30476586232034,-29.25426714405738]}"
000000000000000000cf,365.0,0.005211823619902134,"{""type"":""Point"",""coordinates"":[30.0923113677888,-29.561098616139592]}"
000000000000000000d0,367.0,-0.05187169834971428,"{""type"":""Point"",""coordinates"":[30.233977992851578,-29.256361950808586]}"
000000000000000000d1,368.0,0.039240606129169464,"{""type"":""Point"",""coordinates"":[30.510214819319263,-29.265955970114057]}"
000000000000000000d2,371.0,-0.011038367636501789,"{""type"":""Point"",""coordinates"":[29.98552329034356,-29.646285918869417]}"
000000000000000000d3,373.0,-0.024137210100889206,"{""type"":""Point"",""coordinates"":[30.510836097435277,-29.27614145414021]}"
000000000000000000d4,374.0,0.024613454937934875,"{""type"":""Point"",""coordinates"":[30.098296135525956,-29.549692334310564]}"
000000000000000000d5,376.0,-0.010298389010131359,"{""type"":""Point"",""coordinates"":[29.988681075381542,-29.639203901140238]}"
000000000000000000d6,377.0,0.04120531305670738,"{""type"":""Point"",""coordinates"":[30.073394169583153,-29.585789579013664]}"
000000000000000000d7,378.0,-0.047469377517700195,"{""type"":""Point"",""coordinates"":[29.991415062044343,-29.615857058146215]}"
000000000000000000d8,379.0,0.1042303666472435,"{""type"":""Point"",""coordinates"":[30.297713144962344,-29.263832027801712]}"
000000000000000000d9,380.0,-0.03181309252977371,"{""type"":""Point"",""coordinates"":[30.23095198835071,-29.2417072987986]}"
000000000000000000da,393.0,0.09493803977966309,"{""type"":""Point"",""coordinates"":[30.07278099601672,-29.5619676251241]}"
000000000000000000db,394.0,-0.005221116356551647,"{""type"":""Point"",""coordinates"":[29.966741978469017,-29.629665019897132]}"
000000000000000000dc,395.0,0.04839682579040527,"{""type"":""Point"",""coordinates"":[30.308403724596513,-29.22395106677929]}"
000000000000000000dd,400.0,0.19381752610206604,"{""type"":""Point"",""coordinates"":[30.076620121130343,-29.550824010146524]}"
000000000000000000de,401.0,0.06607519835233688,"{""type"":""Point"",""coordinates"":[30.497984786130598,-29.232353365821833]}"
000000000000000000df,404.0,0.008096346631646156,"{""type"":""Point"",""coordinates"":[30.465036152323872,-29.27083344104836]}"
000000000000000000e0,407.0,-0.05294603109359741,"{""type"":""Point"",""coordinates"":[29.934386538769594,-29.652731684026467]}"
000000000000000000e1,409.0,-0.007886119186878204,"{""type"":""Point"",""coordinates"":[30.06864964640152,-29.533206018005114]}"
000000000000000000e2,410.0,-0.024919418618083,"{""type"":""Point"",""coordinates"":[30.256548940078503,-29.262182459149308]}"
000000000000000000e3,412.0,0.036997318267822266,"{""type"":""Point"",""coordinates"":[30.288347041572614,-29.246072324846413]}"
